epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.87,6.09636,9.2012,6.58749,0.00103,0.13359,0.0007,0.00015,nan,nan,nan,0.0670738,0.000332588,0.000332588
2,446.988,5.07005,8.41566,5.67639,0.58511,0.0149,0.02078,0.00752,5.56043,8.10386,6.32554,0.0340738,0.000665849,0.000665849
3,663.828,4.71564,8.28402,5.33441,0.58545,0.02632,0.0269,0.0097,5.22567,7.7487,6.12651,0.00107339,0.00099882,0.00099882
4,881.255,4.51828,8.05505,5.16548,0.79298,0.03813,0.02635,0.01062,5.1991,8.0003,6.19791,0.000999023,0.000999023,0.000999023
