epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2675.83,3.61197,5.30257,4.09838,0.30168,0.26073,0.23156,0.11943,4.1603,4.9419,4.55498,0.000828443,0.000828443,0.000828443
43,2738.25,3.56344,5.176,4.05172,0.33483,0.27029,0.24181,0.12682,4.18113,4.87012,4.55904,0.000820525,0.000820525,0.000820525
44,2800.78,3.5595,5.15818,4.05392,0.32233,0.26918,0.23977,0.12833,4.05924,4.87062,4.4602,0.000812468,0.000812468,0.000812468
45,2863.14,3.57853,5.20801,4.04368,0.32746,0.26465,0.23644,0.1212,4.13656,4.91132,4.49281,0.000804277,0.000804277,0.000804277
46,2925.38,3.54599,5.16346,4.02054,0.38731,0.27775,0.24991,0.13088,4.07721,4.72738,4.45472,0.000795954,0.000795954,0.000795954
47,2987.69,3.55908,5.18163,4.03349,0.31262,0.27548,0.24732,0.12897,4.07762,4.7904,4.48041,0.000787503,0.000787503,0.000787503
48,3050.05,3.55236,5.11299,4.0242,0.35986,0.28509,0.25819,0.13622,4.04972,4.72267,4.4456,0.000778929,0.000778929,0.000778929
49,3112.68,3.53818,5.09328,3.98845,0.34276,0.27532,0.25262,0.1338,4.02022,4.77727,4.43566,0.000770234,0.000770234,0.000770234
50,3175.16,3.53734,5.12224,4.01449,0.31904,0.27175,0.24576,0.13101,4.07671,4.82111,4.46007,0.000761423,0.000761423,0.000761423
51,3237.62,3.54722,5.06352,4.00314,0.33571,0.28759,0.25675,0.13156,4.06303,4.7177,4.42573,0.0007525,0.0007525,0.0007525
52,75333.5,3.5272,5.07723,3.99794,0.31572,0.28598,0.24412,0.13793,4.00024,4.85355,4.41308,0.000743468,0.000743468,0.000743468
53,75394.9,3.45418,5.02022,3.96367,0.34083,0.27964,0.25766,0.13934,3.97166,4.61092,4.38436,0.000734332,0.000734332,0.000734332
54,75457.8,3.49933,4.99057,3.97796,0.35614,0.28268,0.26412,0.14157,4.07222,4.68059,4.41443,0.000725094,0.000725094,0.000725094
55,75520.7,3.46855,4.99329,3.93956,0.37944,0.27908,0.26851,0.1407,4.02165,4.59258,4.42209,0.000715761,0.000715761,0.000715761
56,75584.4,3.43661,4.95648,3.93778,0.37701,0.31292,0.28578,0.15224,3.89533,4.52082,4.34213,0.000706335,0.000706335,0.000706335
57,75648.6,3.42577,4.90581,3.92345,0.37495,0.30911,0.27735,0.14427,3.9551,4.54854,4.34889,0.00069682,0.00069682,0.00069682
58,75712.8,3.46167,4.91962,3.93575,0.42698,0.26329,0.25662,0.13844,4.01163,4.77154,4.39344,0.000687222,0.000687222,0.000687222
59,75776.4,3.45279,4.90422,3.92771,0.37677,0.31096,0.28392,0.15144,3.90373,4.44571,4.30203,0.000677543,0.000677543,0.000677543
60,75839.4,3.41917,4.84243,3.90164,0.41423,0.29652,0.28517,0.15187,3.91123,4.48712,4.34834,0.000667789,0.000667789,0.000667789
61,75903.6,3.41496,4.85312,3.91779,0.38561,0.30964,0.28614,0.15848,3.88118,4.50301,4.28708,0.000657963,0.000657963,0.000657963
62,75967.3,3.40643,4.83064,3.8883,0.38315,0.30266,0.28238,0.15444,3.93043,4.5874,4.33883,0.000648071,0.000648071,0.000648071
63,76031.9,3.40562,4.88458,3.90982,0.45686,0.3091,0.29672,0.16087,3.87826,4.40488,4.30942,0.000638115,0.000638115,0.000638115
64,76095.1,3.41588,4.83356,3.90619,0.37253,0.31457,0.29053,0.15478,3.90957,4.42634,4.32893,0.000628101,0.000628101,0.000628101
65,76158.3,3.38563,4.80549,3.88896,0.43602,0.29458,0.28787,0.15737,3.89469,4.55257,4.32562,0.000618034,0.000618034,0.000618034
66,76222.5,3.35279,4.74676,3.86406,0.41911,0.31115,0.29776,0.16261,3.81222,4.38723,4.24707,0.000607916,0.000607916,0.000607916
67,76286.5,3.40405,4.81104,3.87879,0.42305,0.30686,0.29077,0.1549,3.8819,4.46957,4.30992,0.000597754,0.000597754,0.000597754
68,76350.7,3.35065,4.74574,3.84352,0.39915,0.31721,0.29529,0.15714,3.85652,4.42218,4.28542,0.000587551,0.000587551,0.000587551
69,76413.9,3.38745,4.7421,3.84705,0.37404,0.31015,0.29159,0.15765,3.89489,4.37221,4.28803,0.000577311,0.000577311,0.000577311
70,76476.7,3.3607,4.70446,3.84754,0.41774,0.31705,0.29704,0.16526,3.86727,4.4068,4.32355,0.00056704,0.00056704,0.00056704
71,76540.3,3.33746,4.692,3.84101,0.43977,0.30057,0.28801,0.15868,3.80463,4.41141,4.25172,0.000556742,0.000556742,0.000556742
72,76603.6,3.31263,4.61181,3.8053,0.42845,0.31844,0.30541,0.16647,3.786,4.34472,4.26501,0.000546421,0.000546421,0.000546421
73,76667.2,3.32611,4.59546,3.83461,0.41473,0.32132,0.30583,0.17035,3.74923,4.30049,4.18213,0.000536081,0.000536081,0.000536081
74,76730.7,3.31736,4.63228,3.7979,0.4322,0.31429,0.30452,0.16524,3.80657,4.36528,4.23268,0.000525728,0.000525728,0.000525728
75,76794.2,3.32341,4.6489,3.82327,0.41237,0.30742,0.30369,0.17062,3.75883,4.32483,4.19404,0.000515366,0.000515366,0.000515366
76,76857.7,3.30741,4.58563,3.8001,0.40199,0.33422,0.31101,0.17185,3.79194,4.28441,4.24235,0.000505,0.000505,0.000505
77,76921.2,3.29445,4.59543,3.78437,0.38286,0.33251,0.30962,0.17409,3.69628,4.25012,4.21222,0.000494634,0.000494634,0.000494634
78,76984.7,3.31047,4.59176,3.80219,0.3887,0.32443,0.30818,0.17353,3.72063,4.21565,4.17951,0.000484272,0.000484272,0.000484272
79,77048.1,3.26676,4.53398,3.79898,0.42805,0.3317,0.31876,0.18081,3.70265,4.19036,4.18509,0.000473919,0.000473919,0.000473919
80,77111.5,3.28263,4.55573,3.79356,0.44626,0.32476,0.31746,0.17973,3.747,4.25753,4.20004,0.000463579,0.000463579,0.000463579
81,77174.8,3.2919,4.56652,3.79019,0.39041,0.33107,0.30665,0.1757,3.71771,4.27328,4.16494,0.000453258,0.000453258,0.000453258
82,77238.3,3.25744,4.48837,3.7501,0.44279,0.32608,0.31823,0.17991,3.68279,4.24831,4.16588,0.00044296,0.00044296,0.00044296
83,77302,3.26293,4.49748,3.77618,0.46818,0.32627,0.31898,0.18282,3.72362,4.22099,4.20138,0.000432689,0.000432689,0.000432689
84,77365.6,3.24946,4.48711,3.76972,0.42012,0.34758,0.32516,0.18545,3.69152,4.15069,4.15433,0.000422449,0.000422449,0.000422449
85,77428.6,3.21613,4.39344,3.71464,0.43964,0.32262,0.32173,0.17752,3.7085,4.20099,4.14886,0.000412246,0.000412246,0.000412246
86,77491.3,3.26642,4.49287,3.76634,0.43924,0.33406,0.32251,0.17916,3.71386,4.17126,4.16424,0.000402084,0.000402084,0.000402084
87,77554.2,3.2171,4.39911,3.72583,0.47626,0.33378,0.32839,0.18406,3.69653,4.15566,4.12991,0.000391966,0.000391966,0.000391966
88,77617.6,3.25172,4.40307,3.7437,0.43669,0.33866,0.32371,0.18542,3.67973,4.21764,4.11966,0.000381899,0.000381899,0.000381899
89,77681.5,3.21921,4.39055,3.71353,0.41935,0.34418,0.32805,0.18919,3.63166,4.1384,4.10613,0.000371885,0.000371885,0.000371885
90,77745.1,3.19217,4.36873,3.69461,0.46691,0.33089,0.33246,0.18936,3.62873,4.11959,4.09814,0.000361929,0.000361929,0.000361929
91,77808.9,3.18433,4.3399,3.68083,0.39666,0.32843,0.31331,0.18015,3.68155,4.17445,4.1258,0.000352037,0.000352037,0.000352037
92,77872.1,3.18506,4.33131,3.69532,0.4615,0.34906,0.33799,0.19231,3.68508,4.11316,4.12093,0.000342211,0.000342211,0.000342211
93,77935.3,3.2238,4.36753,3.69496,0.47616,0.3477,0.34147,0.193,3.67167,4.06037,4.11647,0.000332457,0.000332457,0.000332457
94,77998.6,3.16229,4.26352,3.6624,0.46894,0.35909,0.34695,0.19764,3.62656,4.01911,4.10503,0.000322778,0.000322778,0.000322778
95,78062.1,3.1689,4.34419,3.67964,0.42869,0.34718,0.33954,0.19384,3.64501,4.0162,4.10687,0.00031318,0.00031318,0.00031318
96,78125.8,3.15371,4.24968,3.66129,0.43426,0.3535,0.34276,0.19452,3.66067,4.05032,4.10827,0.000303665,0.000303665,0.000303665
97,78189.2,3.12262,4.23863,3.64557,0.44801,0.34953,0.34313,0.19548,3.6309,4.03293,4.10916,0.000294239,0.000294239,0.000294239
98,78252.7,3.13503,4.24423,3.65659,0.39785,0.35142,0.33743,0.19543,3.61009,4.01067,4.07872,0.000284906,0.000284906,0.000284906
99,78316,3.12258,4.23806,3.65344,0.4477,0.34524,0.33977,0.19715,3.58763,4.04931,4.07045,0.000275668,0.000275668,0.000275668
100,78379.1,3.11271,4.2217,3.63345,0.4146,0.35467,0.33134,0.19388,3.63404,4.08841,4.09637,0.000266532,0.000266532,0.000266532
101,78442.6,3.09049,4.13256,3.62148,0.4454,0.34775,0.33933,0.19832,3.59629,4.03949,4.0631,0.0002575,0.0002575,0.0002575
102,78506.1,3.12823,4.2529,3.66277,0.42369,0.36451,0.34335,0.19959,3.61103,4.04236,4.08405,0.000248577,0.000248577,0.000248577
103,78569.6,3.09771,4.17686,3.63066,0.44465,0.34827,0.34065,0.19992,3.57909,4.02941,4.05577,0.000239766,0.000239766,0.000239766
104,78633.1,3.09757,4.1843,3.63474,0.44868,0.35792,0.34685,0.20151,3.58976,3.99738,4.07743,0.000231071,0.000231071,0.000231071
105,78697.1,3.0743,4.10698,3.61322,0.43995,0.36412,0.35055,0.20551,3.56793,3.9689,4.04226,0.000222497,0.000222497,0.000222497
